birdname,bird_type,waterbird
Accipiter nisus,non_waterbird,0
Aix galericulata,waterbird,1
Anas acuta,waterbird,1
Anas crecca,waterbird,1
Anas platyrhynchos,waterbird,1
Anser anser,waterbird,1
Ardea alba,waterbird,1
Ardea cinerea,waterbird,1
Arenaria interpres,waterbird,1
Athene noctua,non_waterbird,0
Aythya ferina,waterbird,1
Aythya fuligula,waterbird,1
Branta bernicla,waterbird,1
Branta canadensis,waterbird,1
Bucephala clangula,waterbird,1
Buteo buteo,non_waterbird,0
Calidris alba,waterbird,1
Calidris alpina,waterbird,1
Charadrius hiaticula,waterbird,1
Chroicocephalus ridibundus,non_waterbird,0
Ciconia ciconia,waterbird,1
Columba livia,non_waterbird,0
Columba palumbus,non_waterbird,0
Corvus corax,non_waterbird,0
Corvus cornix,non_waterbird,0
Cygnus cygnus,waterbird,1
Cygnus olor,waterbird,1
Egretta garzetta,waterbird,1
Falco peregrinus,non_waterbird,0
Falco tinnunculus,non_waterbird,0
Fringilla montifringilla,non_waterbird,0
Fulica atra,waterbird,1
Gallinago gallinago,waterbird,1
Gallinula chloropus,waterbird,1
Gyps fulvus,non_waterbird,0
Hirundo rustica,non_waterbird,0
Ichthyaetus melanocephalus,non_waterbird,0
Larus canus,waterbird,1
Larus fuscus,waterbird,1
Larus marinus,waterbird,1
Larus michahellis,waterbird,1
Limosa lapponica,waterbird,1
Limosa limosa,waterbird,1
Mareca penelope,waterbird,1
Mareca strepera,waterbird,1
Motacilla alba,non_waterbird,0
Numenius arquata,waterbird,1
Passer domesticus,non_waterbird,0
Passer montanus,non_waterbird,0
Phalacrocorax carbo,waterbird,1
Phasianus colchicus,non_waterbird,0
Phoenicopterus roseus,waterbird,1
Platalea leucorodia,waterbird,1
Plegadis falcinellus,waterbird,1
Pluvialis squatarola,waterbird,1
Podiceps cristatus,waterbird,1
Recurvirostra avosetta,waterbird,1
Somateria mollissima,waterbird,1
Spatula clypeata,waterbird,1
Streptopelia decaocto,non_waterbird,0
Sturnus vulgaris,non_waterbird,0
Tachybaptus ruficollis,waterbird,1
Tadorna tadorna,waterbird,1
Tringa ochropus,waterbird,1
Tringa totanus,waterbird,1
Turdus merula,non_waterbird,0
Vanellus vanellus,waterbird,1
