Event ID,Disease,Serotype,latitude,longitude,Locality,Country,Region,observation date,report date,Species,Diagnosis Source,Humans Affected,Human Deaths,Diagnosis Status,Id,complete_g,complete_1,complete_2,complete_3,complete_4
294712,Influenza - Avian,";H5N8 HPAI;",52.646786,8.201226,lohne,Germany,Europe,2021/03/17 00:00:00+00,2021/04/08 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
294711,Influenza - Avian,";H5N8 HPAI;",52.62616,8.367482,Diepholz,Germany,Europe,2021/03/16 00:00:00+00,2021/04/08 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
294635,Influenza - Avian,";H5N8 HPAI;",52.48,8.34,diepholz (landkreis),Germany,Europe,2021/03/16 00:00:00+00,2021/04/30 00:00:00+00,"Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
307557,Influenza - Avian,";H5N1 HPAI;",52.65,7.91,Badbergen,Germany,Europe,2021/11/14 00:00:00+00,2021/11/25 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
299916,Influenza - Avian,";H5N8 HPAI;",52.21,7.92,Osnabrück,Germany,Europe,2021/07/01 00:00:00+00,2021/08/18 00:00:00+00,"Wild,Swan,Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
309047,Influenza - Avian,";H5N1 HPAI;",52.3269,8.1414,Belm,Germany,Europe,2021/11/15 00:00:00+00,2021/12/14 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
294644,Influenza - Avian,";H5N8 HPAI;",52.65,8.19,vechta (landkreis),Germany,Europe,2021/03/25 00:00:00+00,2021/04/30 00:00:00+00,"Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
310983,Influenza - Avian,";H5N1 HPAI;",52.601,8.39,Diepholz,Germany,Europe,2021/12/16 00:00:00+00,2022/01/11 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
294732,Influenza - Avian,";H5N8 HPAI;",52.470583,8.359731,Lemförde,Germany,Europe,2021/03/04 00:00:00+00,2021/04/08 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
294719,Influenza - Avian,";H5N8 HPAI;",52.649171,8.198995,Lohne,Germany,Europe,2021/03/18 00:00:00+00,2021/04/08 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
296165,Influenza - Avian,";H5N8 HPAI;",52.02,8.43,Landkreis Gütersloh,Germany,Europe,2021/03/29 00:00:00+00,2021/05/21 00:00:00+00,"Wild,Strigidae (unidentified):Strigidae (incognita)(Strigidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
308142,Influenza - Avian,";H5N1 HPAI;",51.82,8.55,Delbrück,Germany,Europe,2021/11/29 00:00:00+00,2021/12/03 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
296168,Influenza - Avian,";H5N8 HPAI;",52.15,8.59,Landkreis Herford,Germany,Europe,2021/03/10 00:00:00+00,2021/05/21 00:00:00+00,"Wild,Crane,",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
296160,Influenza - Avian,";H5N8 HPAI;",52.05,8.55,Bielefeld,Germany,Europe,2021/03/10 00:00:00+00,2021/05/21 00:00:00+00,"Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
296169,Influenza - Avian,";H5N8 HPAI;",51.83,7.85,Landkreis Warendorf,Germany,Europe,2021/03/10 00:00:00+00,2021/05/21 00:00:00+00,"Wild,Anserinae (unidentified):Anserinae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
308027,Influenza - Avian,";H5N1 HPAI;",51.97,8.45,Bielefeld,Germany,Europe,2021/11/26 00:00:00+00,2021/12/01 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
310462,Influenza - Avian,";H5N1 HPAI;",51.837,8.607,Hövelhof,Germany,Europe,2021/12/08 00:00:00+00,2022/01/06 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,27,0,1,0,0,0
310057,Influenza - Avian,";H5N1 HPAI;",53.416022,18.37767,Koz owo    ,Poland,Europe,2021/12/24 00:00:00+00,2021/12/28 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
310302,Influenza - Avian,";H5N1 HPAI;",53.416022,18.37767,Koz owo    ,Poland,Europe,2021/12/29 00:00:00+00,2021/12/31 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
286812,Influenza - Avian,";H5N8 HPAI;",52.76,18.35,Dulsk,Poland,Europe,2021/01/16 00:00:00+00,2021/01/19 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
310316,Influenza - Avian,";H5N1 HPAI;",53.416022,18.37767,Koz owo     ,Poland,Europe,2021/12/30 00:00:00+00,2022/01/05 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
311025,Influenza - Avian,";H5N1 HPAI;",53.5085,17.6878,Pami towo     ,Poland,Europe,2021/12/05 00:00:00+00,2022/01/12 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
309475,Influenza - Avian,";H5N1 HPAI;",52.929743,18.30912,Jezuicka Struga,Poland,Europe,2021/12/16 00:00:00+00,2021/12/20 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
287163,Influenza - Avian,";H5N8 HPAI;",53.11,18.3,Toporzysko,Poland,Europe,2021/01/18 00:00:00+00,2021/01/25 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
288809,Influenza - Avian,";H5N8 HPAI;",52.7558,18.3494,Dulsk,Poland,Europe,2021/02/04 00:00:00+00,2021/02/10 00:00:00+00,"Wild,Anatidae (unidentified):Anatidae (incognita)(Anatidae),",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
314072,Influenza - Avian,";H5N1 HPAI;",52.929743,18.30912,Jezuicka Struga,Poland,Europe,2021/12/16 00:00:00+00,2022/02/17 00:00:00+00,"Domestic,Turkey,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
286811,Influenza - Avian,";H5N8 HPAI;",52.89,18.35,Kaczkowo,Poland,Europe,2021/01/12 00:00:00+00,2021/01/19 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,140,0,1,0,0,0
295166,Influenza - Avian,";H5N8 HPAI;",55.5522,11.2667,Hallenslev,Denmark,Europe,2021/03/11 00:00:00+00,2021/05/07 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
291311,Influenza - Avian,";H5N8 HPAI;",55.54,11.27,Hallenslev,Denmark,Europe,,2021/03/12 00:00:00+00,"Domestic,Unspecified bird,",WOAH (former OIE),,,Confirmed,208,0,1,1,1,1
308787,Influenza - Avian,";H5N1 HPAI;",54.917,-8,Moville,Ireland,Europe,2021/11/19 00:00:00+00,2021/12/10 00:00:00+00,"Wild,Mute Swan:Cygnus olor(Anatidae),",WOAH (former OIE),,,Confirmed,347,0,1,0,0,0
